id,name,slug,category,subcategory,brand,sku,mrp,selling_price,discount_amount,stock,weight,warranty,shipping,country_of_origin,rating,reviews,featured,status,supplier,main_image,img2,img3,img4,img5,img6,short_description,description,specifications,tags
1,Apple iPhone 15,apple-iphone-15,Electronics,Mobile Phones,Apple,APL-IP15-128,99999,89999,5000,25,0.45,1 Year,0,India,4.8,3245,Yes,Active,Apple Distributor,https://images.unsplash.com/photo-1695048133142-1a20484d2569,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9,https://images.unsplash.com/photo-1592899677977-9c10ca588bbd,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5,https://images.unsplash.com/photo-1565849511598-a34db22f981e,https://images.unsplash.com/photo-1556656793-08538906a9f8,Latest iPhone with A16 chip,Premium Apple smartphone,128GB|A16 Chip|48MP Camera,mobile iphone apple
2,Samsung Galaxy S25,samsung-galaxy-s25,Electronics,Mobile Phones,Samsung,SAM-S25-256,109999,96999,3000,15,0.48,1 Year,0,India,4.7,1820,Yes,Active,Samsung Distributor,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf,https://images.unsplash.com/photo-1580910051074-3eb694886505,https://images.unsplash.com/photo-1598327105666-5b89351aff97,https://images.unsplash.com/photo-1610945415295-d9bff067e59c,https://images.unsplash.com/photo-1546054454-aa26e2b734c7,https://images.unsplash.com/photo-1551817958-c5b545b06a5b,Flagship Samsung phone,Premium Android smartphone,256GB|AMOLED|AI Camera,samsung android mobile
3,HP Pavilion Laptop,hp-pavilion-laptop,Electronics,Laptops,HP,HP-PAV-15,69999,62999,2000,12,1.8,1 Year,0,India,4.5,980,Yes,Active,HP India,https://images.unsplash.com/photo-1496181133206-80ce9b88a853,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed,https://images.unsplash.com/photo-1531297484001-80022131f5a1,https://images.unsplash.com/photo-1593642632823-8f785ba67e45,https://images.unsplash.com/photo-1603302576837-37561b2e2302,https://images.unsplash.com/photo-1541807084-5c52b6b3adef,Laptop for work and study,Intel laptop,16GB RAM|512 SSD|i5,laptop hp computer
4,Dell Inspiron Laptop,dell-inspiron-laptop,Electronics,Laptops,Dell,DEL-INS-15,75999,68999,2000,8,1.9,1 Year,0,India,4.4,642,No,Active,Dell India,https://images.unsplash.com/photo-1517336714739-489689fd1ca8,https://images.unsplash.com/photo-1541807084-5c52b6b3adef,https://images.unsplash.com/photo-1593642532842-98d0fd5ebc1a,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed,https://images.unsplash.com/photo-1603302576837-37561b2e2302,https://images.unsplash.com/photo-1496181133206-80ce9b88a853,Reliable business laptop,Dell productivity laptop,16GB RAM|512 SSD,laptop dell
5,Sony Bluetooth Headphones,sony-bluetooth-headphones,Electronics,Audio,Sony,SNY-WH1000,29999,24999,1000,20,0.3,1 Year,0,China,4.8,2350,Yes,Active,Sony India,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,https://images.unsplash.com/photo-1546435770-a3e426bf472b,https://images.unsplash.com/photo-1484704849700-f032a568e944,https://images.unsplash.com/photo-1583394838336-acd977736f90,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef,https://images.unsplash.com/photo-1487215078519-e21cc028cb29,Noise cancelling headphones,Premium audio experience,Bluetooth|ANC|30 Hours,audio headphones sony
6,Boat Airdopes 141,boat-airdopes-141,Electronics,Earbuds,Boat,BOAT-141,1999,1299,200,150,0.1,1 Year,0,India,4.3,10234,Yes,Active,Boat Distributor,https://images.unsplash.com/photo-1606220588913-b3aacb4d2f37,https://images.unsplash.com/photo-1590658268037-6bf12165a8df,https://images.unsplash.com/photo-1613040809024-b4ef7ba99bc3,https://images.unsplash.com/photo-1572569511254-d8f925fe2cbb,https://images.unsplash.com/photo-1599669454699-248893623440,https://images.unsplash.com/photo-1627989580309-bfaf3e58af6f,Affordable earbuds,Popular TWS earbuds,42 Hours Battery,boat earbuds
7,LG 1.5 Ton AC,lg-1-5-ton-ac,Home Appliances,Air Conditioners,LG,LG-AC15,52999,44999,3000,10,35,1 Year,0,India,4.6,850,Yes,Active,LG Distributor,https://images.unsplash.com/photo-1631049307264-da0ec9d70304,https://images.unsplash.com/photo-1621905251189-08b45d6a269e,https://images.unsplash.com/photo-1585338107529-13afc5f02586,https://images.unsplash.com/photo-1527689368864-3a821dbccc34,https://images.unsplash.com/photo-1554995207-c18c203602cb,https://images.unsplash.com/photo-1560185007-cde436f6a4d0,Inverter AC,Energy efficient cooling,5 Star|Dual Inverter,ac lg cooling
8,Voltas Air Cooler,voltas-air-cooler,Home Appliances,Coolers,Voltas,VOL-COOL-90,12999,9999,500,20,12,1 Year,0,India,4.2,330,No,Active,Voltas Dealer,https://images.unsplash.com/photo-1585771724684-38269d6639fd,https://images.unsplash.com/photo-1621905251189-08b45d6a269e,https://images.unsplash.com/photo-1631049307264-da0ec9d70304,https://images.unsplash.com/photo-1527689368864-3a821dbccc34,https://images.unsplash.com/photo-1584622650111-993a426fbf0a,https://images.unsplash.com/photo-1600585154340-be6161a56a0c,Large desert cooler,High air delivery cooler,90L Tank,cooler voltas
9,Samsung 55 Inch Smart TV,samsung-55-smart-tv,Electronics,Television,Samsung,SAM-TV55,64999,54999,2000,6,12,1 Year,0,India,4.7,1200,Yes,Active,Samsung India,https://images.unsplash.com/photo-1593784991095-a205069470b6,https://images.unsplash.com/photo-1593305841991-05c297ba4575,https://images.unsplash.com/photo-1558885561-56c28342d394,https://images.unsplash.com/photo-1461151304267-38535e780c79,https://images.unsplash.com/photo-1478760329108-5c3ed9d495a0,https://images.unsplash.com/photo-1509281373149-e957c6296406,4K Smart TV,Ultra HD television,55 Inch|4K|Smart,tv samsung
10,Whirlpool Refrigerator,whirlpool-refrigerator,Home Appliances,Refrigerator,Whirlpool,WHR-265L,32999,27999,1000,7,48,1 Year,0,India,4.4,455,No,Active,Whirlpool India,https://images.unsplash.com/photo-1571172964276-91faaa704e1d,https://images.unsplash.com/photo-1584622650111-993a426fbf0a,https://images.unsplash.com/photo-1536376072261-38c75010e6c9,https://images.unsplash.com/photo-1556911220-e15b29be8c8f,https://images.unsplash.com/photo-1563245372-f21724e3856d,https://images.unsplash.com/photo-1600585154340-be6161a56a0c,Double door fridge,Energy efficient refrigerator,265L Capacity,refrigerator whirlpool
